Key,Description,Standard,fr
SAY.Flowchart.4.Hazel,,How did the fire start?,Comment l'incendie s'est-il déclaré ?
SAY.Flowchart.8.Priest,,"I did not witness it myself, so I cannot be certain.","Je n'y étais pas, je ne peux donc pas en être certain."
SAY.Flowchart.7.Priest,,"But from what I've heard, it was a group of villagers, several of them nursing a grudge. They must have blocked or barricaded the front door so that neither of the women could escape.","Mais d'après ce que j'ai entendu dire, il s'agissait d'un groupe de villageois, dont plusieurs nourrissaient de la rancœur. Ils ont dû barricader la porte d'entrée pour qu'aucune des deux femmes ne puisse s'échapper."
SAY.Flowchart.12.Priest,,"I did hear that one of the women survived, though only barely, and that she was horribly disfigured. I can only imagine the suffering she's going through now, if she's even still alive.","J'ai aussi entendu dire qu'une des femmes avait survécu, de justesse, et qu'elle avait été complètement défigurée. Je ne peux qu'imaginer les souffrances qu'elle endure actuellement, si tant est qu'elle soit encore en vie."
SAY.Flowchart.13.Priest,,"What I heard after that, though, caused me to doubt my own ears.",Mais ce que j'ai entendu ensuite m'a fait douter de mes propres oreilles.
SAY.Flowchart.14.Priest,,"One of the villagers responsible for the fire recounted to me how that same survivor, covered in severe burns, dashed off into the forest, faster than any of them could follow, whimpering like a mad dog.","L'un des villageois responsables de l'incendie m'a raconté comment cette même survivante, recouverte de brûlures, s'était précipitée dans la forêt. Elle courait si vite qu'aucun n'avait pu la suivre, et elle hurlait comme un chien enragé."
SAY.Flowchart.15.Priest,,"A chilling image, if true.","Une scène effrayante, si elle est vraie."
SAY.Flowchart.20.,,"{i}Scattered around the area are what looks like the remains of glass bottles, vials, and wooden boxes; torn, shattered and broken to pieces.{/i}","{i}On trouve éparpillés un peu partout dans les environs ce qui semble être les restes de bouteilles en verre, de flacons et de boîtes en bois, déchirés, brisés et réduits en morceaux.{/i}"
SAY.Flowchart.21.Hazel,,What are these?,Qu'est-ce que c'est ?
SAY.Flowchart.25.Priest,,"The doctor I told you about, she had quite the collection of ingredients and equipment.","La médecin dont je t'ai parlé, elle avait toute une collection d'ingrédients et de matériel."
SAY.Flowchart.26.Priest,,"I've heard that once the fire had burned itself out, a few of the villagers tore through the house, looking for ""evidence of witchcraft"". This would appear to be the result of their search.","J'ai entendu dire qu'une fois l'incendie éteint, quelques villageois ont saccagé la maison à la recherche de « preuves de sorcellerie ». Voici apparemment le résultat de leurs recherches."
SAY.Flowchart.38.,,"{i}I lean down and pick up the large rock with both arms, straining from the exertion.{/i}","{i}Je me penche et ramasse la pierre à deux mains, en employant toute ma force.{/i}"
SAY.Flowchart.39.Priest,,What... are you doing?,Mais… qu'est-ce que tu fais ?
SAY.Flowchart.41.Hazel,,... You'll ... see.,... Vous verrez bien.
SAY.Flowchart.43.,,"{i}Just a rock. It looks like it has a good weight to it, but I don't have any use for it now.{/i}","{i}Ce n'est qu'une pierre. Elle a l'air assez lourde, mais je n'en ai pas l'utilité pour l'instant.{/i}"
SAY.Flowchart.34.,,"{i}I can see something, behind the glass. It looks familiar, almost.{/i}",{i}Je distingue quelque chose derrière la vitre. Ça me semble presque familier.{/i}
SAY.Flowchart.52.,,"{i}I step closer and carefully press one hand against the glass, but it doesn't budge.{/i}","{i}Je m'approche et appuie doucement ma main contre la vitre, mais elle ne bouge pas d'un pouce.{/i}"
SAY.Flowchart.35.,,"{i}That window is the one part of the building that’s still fully intact, and whatever's behind it is blocked by rubble on the other side.{wc}I'm going to need something heavy if I want to get through it.{/i}",{i}Cette fenêtre est la seule partie du bâtiment qui soit encore entièrement intacte. Ce qui se trouve derrière est bloqué par des décombres de l'autre côté.{wc}Il va me falloir quelque chose de lourd si je veux y accéder.{/i}
SAY.Flowchart.46.,,"{i}I walk over to the makeshift charm and flick it with one finger, watching it swing lazily back and forth in the light breeze.{/i}","{i}Je m'approche du pendentif et le fais osciller d'un doigt. Je le regarde se balancer tranquillement d'avant en arrière dans la légère brise.{/i}"
SAY.Flowchart.48.Priest,,"That's a charm meant to repel evil, put up by one of the villagers. It was actually here long before the fire. I passed under it during many of my visits.","C'est un talisman destiné à repousser les forces du mal, installé par l'un des villageois. Il était déjà là bien avant l'incendie. Je suis passé dessous à de nombreuses reprises lors de mes visites."
SAY.Flowchart.49.Priest,,"I don't know why neither of the women ever removed it, but I suspect it was that very wilfulness which many of the villagers feared.","Je ne sais pas pourquoi aucune des deux femmes ne l'a jamais retiré, mais je soupçonne que c'était justement cet entêtement que redoutaient bon nombre de villageois."
SAY.Flowchart.55.,,"{i}I heave the rock with all my might, and flinch as I hear it crash into the window, shattering it to pieces.{wc}A few birds fly out of the trees overhead, cawing and cooing in surprise at the sudden noise.{/i}","{i}Je lance la pierre de toutes mes forces et sursaute en l'entendant s'écraser contre la fenêtre, qui vole en éclats.{wc}Quelques oiseaux s'envolent des arbres au-dessus de ma tête, croassant et roucoulant, surpris par ce bruit soudain.{/i}"
SAY.Flowchart.57.,,"{i}As carefully as I can, I step through the broken window, avoiding the sharp panes of shattered glass.{wc}On the other side, almost buried under the rubble, are a few scattered ingredients and a cracked clay bowl.{/i}","{i}Aussi prudemment que possible, je passe par la fenêtre brisée, en évitant les éclats de verre coupants.{wc}De l'autre côté, presque enfouis sous les décombres, se trouvent quelques ingrédients éparpillés et un bol en argile fêlé.{/i}"
SAY.Flowchart.58.,,"{i}The ingredients look random at first, but I know better. A sprig of Lavender, a branch of Hemlock. And, in the centre of the bowl... a bezoar stone.{/i}","{i}À première vue, les ingrédients non pas l'air d'avoir de rapport entre eux, mais je sais bien que ce n'est pas le cas. Un morceau de lavande, une branche de cigüe, et au centre du bol… une pierre de bézoard.{/i}"
SAY.Flowchart.59.,,"{i}I clamber back out of the wreckage, and look back at the priest, who is staring at me in shock.{/i}","{i}Je me hisse hors des décombres et je me retourne vers le prêtre, qui me fixe les yeux écarquillés.{/i}"
SAY.Flowchart.61.Hazel,,Sorry. I needed this.,Désolée. J'avais besoin de ça.
SAY.Flowchart.62.,,"{i}I give him a short nod, then turn around and leave.{/i}","{i}Je lui fais un bref signe de tête, puis je rebrousse chemin et m'en vais.{/i}"
SAY.Flowchart.65.Hazel,,This isn't what I need...,Ce n'est pas ce dont j'ai besoin...
SAY.Flowchart.75.,,"{i}I reach down and pick up what looks like a scrap of paper, sticking out of the rubble. When I pull it out, however, I see that it is actually a painting, charred by smoke and fire.{/i}","{i}Je me baisse et ramasse ce qui ressemble à un bout de papier, dépassant des décombres. Quand je le retire, je constate qu'il s'agit en réalité d'un tableau, noirci par la fumée et le feu.{/i}"
SAY.Flowchart.71.,,"{i}I lift it up to my face to get a closer look, but as I do, a gust of wind picks up, and the painting crumbles away, scattering in the wind.{/i}","{i}Je l'approche de mon visage pour mieux le regarder, mais à ce moment-là, une rafale de vent se lève et le tableau s'effrite, se dispersant dans les airs.{/i}"
SAY.Flowchart.74.,,{i}All I am left with is the faint impression that the painting's style seemed familiar...{/i},{i}Il ne me reste plus qu'une vague impression que le style de ce dessin m'était familier...{/i}
SAY.Flowchart.96.,,{i}I try to hurl the rock at the window and miss spectacularly.{wc} The rock finds itself flying across to the other side of the house.{/i},"{i}J'essaie de lancer la pierre sur la fenêtre, mais je rate totalement mon coup.{wc} La pierre finit par tomber de l'autre côté de la maison.{/i}"
SAY.Flowchart.84.,,{i}I walk around to the other side of the burnt house to retrieve the rock.{/i},{i}Je fais le tour de la maison incendiée pour aller récupérer la pierre.{/i}
SAY.Flowchart.85.,,"{i}Before I pick up the rock, I come across something interesting sitting on the windowsill.{/i}","{i}Avant de ramasser la pierre, je tombe sur quelque chose d'intéressant posé sur le rebord de la fenêtre.{/i}"
SAY.Flowchart.86.Hazel,,What is this?,Qu'est-ce que c'est ?
SAY.Flowchart.87.Priest,,Looks to be a trinket of some sort.{wc} Can I have a look at it?,On dirait un petit bibelot.{wc} Je peux y jeter un coup d'œil ?
SAY.Flowchart.88.,,{i}I hand it to the priest.{/i},{i}Je le tends au prêtre.{/i}
SAY.Flowchart.89.Priest,,The back seems to have some engravings.{wc} I'll read them aloud.,Il semble y avoir des inscriptions au dos.{wc} Je les lis à haute voix.
SAY.Flowchart.90.Priest,,"""Team CatFish!""",« Équipe CatFish ! »
SAY.Flowchart.82.,,"{i}We look at each other, both confused as to the meaning behind the engraving.{wc} We leave the trinket where we found it. Perhaps someone will understand its meaning.{/i}","{i}Nous nous regardons, tous deux perplexes quant à la signification de cette gravure.{wc} Nous laissons le bibelot là où nous l'avons trouvé. Peut-être que quelqu'un en comprendra le sens.{/i}"
CHARACTER.Hazel,,Hazel,Hazel
CHARACTER.Priest,,Priest,Prêtre
