ucheKey,Description,Standard,fr
SAY.cinna flowchart.289.,,"The warm light of the morning sun plays across my face, filtered through a dozen layers of dust and cobwebs.{wc}I sit up and blink a few times, making sure that I'm still alive. Then, the pain in my leg flares up, and my thoughts scatter.","La douce chaleur du soleil matinal caresse mon visage, filtrée par une douzaine de couches de poussière et de toiles d’araignée.{wc}Je me redresse et cligne des yeux plusieurs fois, afin de m’assurer d’être toujours en vie. Puis, la douleur dans ma jambe se ravive, et mes pensées s’éparpillent. "
SAY.cinna flowchart.292.Mary,,Good morning.,Bonjour.
SAY.cinna flowchart.293.,,"The woman who saved me yesterday is sitting by the bed, her hands steepled. She looks like she's been sitting there for a long time.","La femme qui m'a sauvé hier est assise près du lit, les mains jointes. On dirait qu'elle est là depuis longtemps."
MENU.cinna flowchart.562,,Good morning.,Bonjour.
MENU.cinna flowchart.563,,Who are you?,Qui êtes-vous ?
SAY.cinna flowchart.299.Hazel,,{i}Good... morning.{/i},{i}Bon... jour.{/i}
SAY.cinna flowchart.300.,,"I croak out the words, my throat as dry as a desert.","Je peine à sortir ces mots, ma gorge étant aussi sèche qu’un désert."
SAY.cinna flowchart.303.Mary,,"Oh, don't overexert yourself. Here.","Oh, ne te fatigue pas trop. Tiens."
SAY.cinna flowchart.306.Hazel,,{i}Who... are you?{/i},{i}Qui... êtes-vous ?{/i}
SAY.cinna flowchart.307.,,"I croak out the words, my throat as dry as a desert.","Je peine à sortir ces mots, ma gorge étant aussi sèche qu’un désert."
SAY.cinna flowchart.310.Mary,,"Oh, we can go through that later. For now, you just take it easy.","Ah, on verra ça plus tard. Pour l'instant, essaie seulement de te reposer."
SAY.cinna flowchart.312.Mary,,Here.,Tiens.
SAY.cinna flowchart.314.,,"She picks up a clay bowl filled to the brim with pure, clear water, and hands it to me.","Elle prend un bol en argile rempli à ras bord d'une eau pure et limpide, et me le tend."
SAY.cinna flowchart.594.,,"I gulp it down greedily, letting the water spill from the corner of my mouth and down my cheeks.","Je bois goulûment, laissant l'eau couler du coin de ma bouche et ruisseler sur mes joues."
SAY.cinna flowchart.316.Mary,,I was starting to worry you might never wake up.,Je commençais à craindre que te ne te réveilles jamais.
