Key,Description,Standard,fr
SAY.cinna flowchart.1014.,,"Come morning, I am awoken by the sound of knocking, and by a familiar voice.","Au petit matin, je suis réveillée par le bruit de la porte qu'on cogne et par une voix familière."
SAY.cinna flowchart.1016.Mary,,Hazel... can you open the door?,Hazel… tu peux ouvrir la porte ?
SAY.cinna flowchart.1017.,,"I get out of bed, unlatch the door, and open it.","Je sors du lit, déverrouille la porte et l'ouvre."
SAY.cinna flowchart.1020.Mary,,Why did you lock the door? You never used to do that.,Pourquoi as-tu fermé la porte à clé ? Tu ne l'avais jamais fait avant.
SAY.cinna flowchart.1022.Hazel,,Your eye...,Ton œil…
SAY.cinna flowchart.1024.Mary,,"Oh, this?","Ah, ça ?"
SAY.cinna flowchart.1025.,,"She taps the bandage a few times, like the thought of it worrying me had never even crossed her mind.","Elle tapote le pansement à plusieurs reprises, comme si l'idée que cela puisse m'inquiéter ne lui avait jamais traversé l'esprit."
SAY.cinna flowchart.1027.Mary,,"I just had a bit of a nasty fall, that's all. It'll be healed up in a few days, I'm sure.","C'est juste une mauvaise chute, c'est tout. Ça ira mieux dans quelques jours, j'en suis sûre."
SAY.cinna flowchart.1029.Hazel,,Are you sure? It looks bad.,Tu es sûre ? Ça a l'air grave.
SAY.cinna flowchart.1031.Mary,,"I told you, it's fine. More importantly...","Je te l'ai dit, tout va bien. Mais, plus important…"
SAY.cinna flowchart.1033.Mary,,I need something from you.,J'ai besoin que tu fasses quelque chose pour moi.
SAY.cinna flowchart.1035.Hazel,,What is it?,Quoi donc ?
SAY.cinna flowchart.1037.Mary,,I need your blood.,Donne-moi ton sang.
SAY.cinna flowchart.1038.,,"I laugh, and I expect her to laugh along with me. She doesn't. The look in her eyes is serious — no, more than that.","Je ris, et je m'attends à ce qu'elle rigole avec moi. Mais elle ne le fait pas. Son regard est sérieux… non, pire que ça."
SAY.cinna flowchart.1039.,,"I only now realise just how disturbed she looks. Her only unharmed eye has gone wide, its pupil a tiny black dot in a sea of white.{wc}Her arms are shaking slightly, her hands curling and uncurling. Her eye keeps darting around the room.{wc}She looks nothing like she did yesterday.","Ce n'est que maintenant que je réalise à quel point elle a l’air perturbée. Son seul œil intact est écarquillé, sa pupille n’est qu’un minuscule point noir dans un océan de blanc.{wc}Ses bras tremblent légèrement, ses poings se serrent et se desserrent. Son regard ne cesse de parcourir la pièce.{wc}Elle n’a plus rien à voir avec celle qu’elle était hier."
SAY.cinna flowchart.1041.Hazel,,What's wrong?,Qu'est-ce qui ne va pas ?
SAY.cinna flowchart.1043.Mary,,"No, no, no. I told you, nothing's wrong!","Non, non, non. Je te l'ai dit, tout va bien !"
SAY.cinna flowchart.1045.,,"She slams her fist into the wall, and the wood buckles from the impact.",Elle donne un coup de poing dans le mur. Le bois se déforme à l'impact.
SAY.cinna flowchart.1047.Mary,,"Hazel. If you love me, you'll do this for me.","Hazel. Si tu m'aimes, tu feras ça pour moi."
SAY.cinna flowchart.1049.Hazel,,O-okay.,D-d'accord.
SAY.cinna flowchart.1051.Mary,,Great.,Bien.
